,tokenized_pros,company
35762,"['great', 'place', 'work']",facebook
35441,"['ive', 'work', 'differ', 'compani', 'invest', 'bank', 'cpg', 'tech', 'compani', 'noth', 'beat', 'peopl', 'amaz', 'mention', 'wick', 'smart', 'youll', 'surround', 'talent', 'peopl', 'world', 'mission', 'chang', 'world']",facebook
6822,"['organ', 'innov', 'take', 'care', 'employ', 'offer', 'lot', 'train', 'learn', 'opportun', 'peopl', 'usual', 'collabor', 'interest', 'profession', 'inspir']",google
910,"['realli', 'great', 'innov', 'team']",google
4597,"['thing', 'youv', 'alreadi', 'read', 'food', 'dog', 'look', 'great', 'resum', 'your', 'readi', 'move', 'career', 'resum', 'context', 'almost', 'guarante', 'initi', 'interview', 'folk', 'curiou', 'would', 'ever', 'want', 'leav']",google
35575,"['awesom', 'peopl', 'open', 'cultur', 'high', 'level', 'trust', 'littl', 'bs', 'bureaucraci']",facebook
59436,"['lot', 'role', 'also', 'mean', 'get', 'round', 'experi', 'would', 'differ', 'role', 'across', 'differ', 'team', 'life', 'stay', 'interest']",microsoft
35042,"['mission', 'mean', 'smart', 'peopl', 'learn', 'big', 'challeng', 'tackl', 'everi', 'day']",facebook
3837,"['usual', 'good', 'stuff', 'free', 'food', 'good', 'comp']",google
61524,"['experi', 'guess', 'benefit', 'good']",microsoft
36225,"['collabor', 'environ', 'great', 'colleagu', 'great', 'pay', 'peopl', 'adult']",netflix
34753,"['awesom', 'colleagu', 'talent', 'driven', 'open', 'cultur', 'lot', 'structur', 'unstructur', 'learn', 'take', 'place', 'manag', 'usual', 'pretti', 'good', 'peopl', 'meaning', 'compani', 'mission', 'impact', 'individu', 'work', 'perk', 'fantast']",facebook
35004,"['open', 'cultur', 'secret', 'project', 'opportun', 'growth', 'access', 'manag', 'via', 'weekli', 'qa', 'lot', 'learn', 'develop', 'cours', 'encourag', 'work', 'passion', 'perk', 'benefit', 'chang', 'accord', 'employe', 'want']",facebook
35138,"['opinion', 'oper', 'polici', 'extrem', 'trust', 'respect', 'employe', 'give', 'us', 'mani', 'privileg', 'opportun', 'trust', 'us', 'screw', 'thing', 'abus', 'privileg', 'return', 'employe', 'respect', 'compani', 'back', 'addit', 'everyon', 'ridicul', 'smart', 'amaz', 'pleasur', 'work']",facebook
35791,"['give', 'opportun', 'build', 'career', 'way', 'would', 'like', 'amaz', 'work', 'cultur', 'support', 'help', 'colleagu']",facebook
64810,"['good', 'team', 'work', 'enviro']",microsoft
35043,"['amaz', 'place', 'mani', 'way', 'benefit', 'perk', 'liter', 'best', 'possibl', 'ask', 'calib', 'peopl', 'amaz', 'well', 'fact', 'littl', 'scari', 'intimid', 'like', 'fast', 'pace', 'place', 'product', 'chang', 'overnight']",facebook
66210,"['salari', 'ok', 'much', 'polit', 'field']",microsoft
34598,"['lot', 'free', 'snack', 'food', 'great', 'cultur', 'gener', 'salari']",facebook
36175,"['treat', 'adult', 'minim', 'micro', 'manag', 'expect', 'take', 'lead', 'project', 'ampl', 'space', 'tri', 'thing', 'pm', 'will', 'listen', 'tri', 'idea', 'via', 'ab', 'test']",netflix
6837,"['benefit', 'good', 'good', 'compani']",google
62570,"['car', 'bonu', 'phone', 'beauti', 'campu', 'expens']",microsoft
34540,"['open', 'cultur', 'innov', 'smart', 'peopl', 'great', 'benefit', 'perk']",facebook
2469,"['good', 'perk', 'food', 'gener', 'lifestyl']",google
5241,"['great', 'peopl', 'dynam', 'fast', 'pace', 'workplac']",google
66041,"['great', 'project', 'huge', 'user', 'base', 'opportun', 'grow', 'perfect', 'work', 'life', 'balanc', 'strong', 'global', 'strategi']",microsoft
35433,"['smartest', 'passion', 'peopl', 'ever', 'work', 'compani', 'mean', 'much', 'mani', 'humbl', 'employe']",facebook
56976,"['still', 'possess', 'strong', 'brain', 'trust', 'area', 'technolog', 'hardwar', 'softwar', 'middlewar', 'method', 'intellectu', 'properti', 'encount', 'mani', 'strong', 'mind', 'softwar', 'engin', 'program', 'manag', 'get', 'trust', 'could', 'learn', 'choic', 'made', 'base', 'project', 'context', 'tribal', 'knowledg', 'offici', 'compani', 'ideal', 'right', 'chang', 'world', 'provid', 'valu', 'custom', 'benefit', 'competit', 'better', 'high', 'tech', 'compani']",microsoft
34380,"['reason', 'pay', 'plenti', 'perk']",facebook
36241,"['great', 'pay', 'employe', 'fun', 'work', 'environ', 'progress', 'product', 'excel', 'work', 'life', 'balanc']",netflix
34959,"['peopl', 'flexibl', 'challeng', 'growth', 'potenti', 'life', 'benefit', 'program']",facebook
36274,"['compani', 'innov', 'outlook', 'potenti', 'futur', 'campaign', 'keep', 'lead', 'edg', 'technolog']",netflix
66521,"['still', 'truli', 'great', 'folk', 'work', 'learn', 'lot', 'sheer', 'divers', 'product', 'within', 'compani', 'hard', 'match', 'find', 'exactli', 'right', 'product', 'youd', 'like', 'work', 'mani', 'team', 'realli', 'good', 'work', 'life', 'balanc', 'youll', 'opportun', 'mani', 'team', 'see', 'worldscal', 'softwar', 'develop', 'maintain']",microsoft
35931,"['stun', 'colleagu', 'polit', 'constant', 'challeng', 'perform', 'startup', 'like', 'experi', 'zero', 'toler', 'toward', 'untranspar', 'top', 'market', 'pay']",netflix
35829,"['wide', 'connect', 'differ', 'peopl', 'countri']",facebook
35000,"['great', 'pay', 'great', 'benefit', 'interest', 'work', 'get', 'work', 'best', 'engin', 'world', 'busi', 'incred', 'well']",facebook
2394,"['ton', 'perk', 'dog', 'friendli']",google
59132,"['lot', 'differ', 'product', 'area', 'work', 'work', 'industri', 'lead', 'product', 'well', 'underdog', 'product']",microsoft
1898,"['lot', 'free', 'coffe', 'great', 'work', 'environ', 'wonder', 'place', 'learn', 'make', 'new', 'connect']",google
49866,"['flexibl', 'work', 'hour', 'work', 'home', 'treat', 'staff', 'realli', 'well', 'lot', 'great', 'perk']",microsoft
35355,"['excel', 'benefit', 'fun', 'environ', 'fun', 'outing', 'event']",facebook
34394,"['awesom', 'peopl', 'great', 'cultur', 'excit', 'fastmov', 'environ']",facebook
34545,"['great', 'perk', 'benefit', 'challeng', 'posit', 'vibe']",facebook
1588,"['everyon', 'friendli', 'great']",google
36463,"['unlimit', 'time', 'compani', 'upfront', 'honest', 'stand', 'overal', 'perform', 'decent', 'pay', 'lot', 'micromanag']",netflix
7574,"['lot', 'resourc', 'great', 'peopl', 'learn']",google
35825,"['great', 'cultur', 'manag', 'genuin', 'care', 'staff', 'happi', 'career', 'path', 'growth', 'person', 'develop', 'compani', 'scale', 'get', 'sens', 'everyon', 'want', 'retain', 'hack', 'cultur', 'abil', 'move', 'fast', 'avoid', 'bureaucrat', 'system', 'offer', 'opportun', 'everyon', 'avoid', 'handpick', 'keep', 'compani', 'polit', 'minimum', 'work', 'environ', 'collabor', 'open', 'focus', 'impact', 'peopl', 'smartest', 'peopl', 'ever', 'chanc', 'deal', 'hardwork', 'fun', 'collabor', 'creativ', 'driven', 'made', 'mold', 'divers', 'import', 'dublin', 'love', 'multicultur', 'environ', 'respect', 'everyon', 'cultur', 'creat', 'great', 'vibe', 'around', 'offic', 'perk', 'alright', 'initi', 'salari', 'highest', 'compar', 'compani', 'work', 'howev', 'monthli', 'bonus', 'perform', 'base', 'stock', 'salari', 'adjust', 'everi', 'year', 'free', 'healthi', 'delici', 'food', 'day', 'realli', 'add', 'higher', 'base', 'salari', 'previou', 'job', 'go', 'work', 'everi', 'day', 'without', 'fear', 'day', 'bring', 'lower', 'stresslevel', 'priceless', 'also', 'put', 'irish', 'dublin', 'context', 'grim', 'unemploy', 'figur', 'solid', 'job', 'career', 'prospect', 'put', 'asid', 'peopl', 'cool', 'offic', 'mani', 'perk', 'realli', 'love', 'support', 'hundr', 'million', 'user', 'across', 'emea', 'latin', 'america', 'work', 'scale', 'inspir', 'feel', 'immens', 'proud', 'achiev', 'everi', 'day']",facebook
65638,"['young', 'flexibl', 'compani', 'sure', 'good', 'gym', 'play', 'around', 'grow', 'career']",microsoft
3118,"['build', 'interest', 'softwar', 'infrastructur', 'compani', 'valu', 'engin', 'work', 'realli', 'bright', 'cowork', 'build', 'atop', 'awesom', 'codebas']",google
34489,"['smart', 'peopl', 'excit', 'work', 'fun', 'work', 'environ', 'amaz', 'employe', 'benefit']",facebook
53328,"['good', 'project', 'team', 'cultur']",microsoft
34966,"['amaz', 'growth', 'potenti', 'place', 'could', 'move', 'quickli', 'fast', 'everyon', 'focus', 'impact', 'time', 'worth', 'dont', 'learn', 'best', 'world', 'unbeat', 'pay', 'benefit', 'work', 'environ', 'cultur']",facebook
36527,"['household', 'name', 'love', 'custom', 'profession', 'standpoint', 'compani', 'encourag', 'high', 'perform', 'autonomi', 'effect', 'everi', 'employe', 'put', 'compani', 'encourag', 'voic', 'opinion', 'ceo', 'reed', 'hast', 'happen', 'one', 'brilliant', 'innov', 'leader', 'industri', 'alway', 'open', 'door', 'polici', 'employe']",netflix
36582,"['great', 'opportun', 'work', 'open', 'sourc', 'softwar']",netflix
34785,"['move', 'fast', 'work', 'smart', 'peopl', 'less', 'polit', 'open', 'cultur', 'high', 'bar', 'candid', 'even', 'compani', 'grown']",facebook
58694,"['great', 'compani', 'great', 'peopl', 'technolog', 'work', 'awesom', 'benefit', 'work', 'life', 'balanc']",microsoft
35144,"['technic', 'bar', 'across', 'compani', 'realli', 'high', 'make', 'great', 'place', 'build', 'great', 'thing', 'learn', 'peer', 'ton', 'benefit', 'make', 'life', 'comfort', 'laundri', 'commut', 'shuttl', 'restaur', 'gym', 'noth', 'beat', 'surround', 'great', 'peopl']",facebook
34428,"['fantast', 'environ', 'awesom', 'peopl', 'great', 'food', 'extrem', 'support', 'unbeliev', 'tech']",facebook
4714,"['great', 'benefit', 'work', 'compani', 'everyon', 'respect', 'say', 'wow', 'get', 'help', 'build', 'product', 'realli', 'chang', 'world', 'hour', 'reason', 'treat', 'human', 'respect', 'engin', 'onsit', 'breakfast', 'lunch', 'dinner', 'unmatch', 'anywher', 'luckili', 'make', 'billion', 'use', 'small', 'fraction', 'total', 'workforc', 'leav', 'lot', 'capit', 'avail', 'dedic', 'resourc', 'project', 'arent', 'pure', 'motiv', 'shortterm', 'profit', 'rather', 'help', 'build', 'press', 'organ', 'theoret', 'interest', 'innov', 'time', 'techtalk', 'whole', 'rang', 'topic', 'strictli', 'requir', 'carri', 'job', 'respons', 'gener', 'educ', 'huge', 'plu', 'employ', 'innov', 'thinker', 'builder', 'time']",google
2117,"['drive', 'want', 'grow', 'seek', 'opportun', 'prove', 'worth', 'keep', 'motiv', 'ton', 'interest', 'project', 'dearth', 'challeng', 'project', 'keep', 'interest', 'year', 'mobil', 'within', 'compani', 'easi', 'long', 'good', 'perform', 'get', 'work', 'smart', 'peopl', 'make', 'perform', 'notch', 'manag', 'intent', 'less', 'involv', 'engin', 'life', 'avoid', 'micromanag', 'bia', 'singl', 'point', 'failur', 'goe', 'point', 'free', 'defin', 'done', 'domain', 'cours', 'sell', 'lot', 'basic', 'infra', 'exist', 'except', 'dont', 'spend', 'much', 'time', 'mean', 'end', 'pay', 'perform', 'good', 'perform', 'taken', 'care', 'needless', 'say', 'perk', 'amaz', 'learn', 'lot', 'thing', 'learn', 'best', 'imho', 'dont', 'see', 'lot', 'engin', 'want', 'learn', 'graduat', 'even', 'undergrad', 'want', 'person', 'build', 'next', 'biggest', 'thing', 'great', 'truli', 'skill']",google
4850,"['peopl', 'cultur', 'fun']",google
1997,"['begin', 'career']",google
1517,"['campu', 'nice', 'great', 'food', 'gym', 'recreat', 'facil']",google
36567,"['good', 'compani', 'cultur', 'nice', 'peopl']",netflix
59484,"['stabil', 'work', 'life', 'balanc', 'good', 'salari', 'abil', 'move', 'job', 'within', 'compani', 'easili', 'tri', 'differ', 'thing']",microsoft
35938,"['great', 'environ', 'decent', 'pay', 'great', 'opportun', 'overtim']",netflix
36575,"['stun', 'colleagu', 'freedom', 'respons', 'competit', 'compens', 'travel', 'lot', 'consid', 'pro', 'entrepreneurship', 'inde', 'appreci']",netflix
7118,"['trust', 'love', 'treat', 'peopl', 'well', 'provid', 'much', 'benefit']",google
5497,"['job', 'allow', 'progress', 'anyon', 'els']",google
34922,"['opportun', 'work', 'interest', 'challeng', 'problem', 'intellectu', 'stimul', 'environ', 'great', 'perk', 'shuttl', 'ride', 'make', 'life', 'effici', 'compani', 'good', 'spot', 'larg', 'market', 'ceo', 'great', 'vision']",facebook
58079,"['access', 'hundr', 'thousand', 'technic', 'expert', 'everi', 'area', 'technolog', 'passion', 'learn', 'place', 'start', 'career']",microsoft
3695,"['benefit', 'match', 'soar', 'stock', 'price', 'strong', 'ad', 'busi']",google
34950,"['move', 'fast', 'awesom', 'cultur', 'smart', 'peopl', 'rooftop', 'garden', 'manag', 'train', 'sweet', 'stop', 'music', 'around', 'campu', 'cafe']",facebook
7389,"['bureaucraci', 'smart', 'teammat', 'best', 'class', 'hardwar', 'challeng', 'work', 'excel', 'benefit', 'review', 'interview', 'process', 'allow', 'narr', 'evalu', 'instead', 'opinion', 'boss']",google
62746,"['work', 'environ', 'benefit', 'packag', 'stock', 'inspir', 'colleagu']",microsoft
36234,"['pay', 'seemingli', 'lax', 'supervisor', 'food', 'kart']",netflix
36545,"['best', 'thing', 'abil', 'everi', 'singl', 'person', 'signific', 'impact', 'busi', 'employe', 'given', 'huge', 'piec', 'busi', 'allow', 'make', 'right', 'call', 'judgement', 'ton', 'flexibl', 'lack', 'polici', 'procedur', 'make', 'person', 'use', 'brain', 'make', 'decis', 'hire', 'adult', 'treat', 'way', 'uniqu', 'challeng', 'work', 'place', 'acknowledg', 'hard', 'work', 'expect', 'high', 'perform']",netflix
53982,"['benefit', 'excel', 'peopl', 'nice']",microsoft
5348,"['benefit', 'extrem', 'good', 'best']",google
35829,"['wide', 'connect', 'differ', 'peopl', 'countri']",facebook
62161,"['good', 'environ']",microsoft
35042,"['mission', 'mean', 'smart', 'peopl', 'learn', 'big', 'challeng', 'tackl', 'everi', 'day']",facebook
35531,"['cool', 'offic', 'great', 'benefit', 'casual', 'environ', 'ps', 'cafe', 'awesom']",facebook
35204,"['brilliant', 'colleagu', 'fantast', 'startupish', 'cultur', 'desir', 'thing', 'right', 'way', 'interest', 'wide', 'vari', 'technolog', 'challeng', 'solv', 'great', 'perk', 'make', 'life', 'comfort']",facebook
4874,"['nice', 'feel', 'like', 'part', 'someth', 'greater', 'oneself', 'whole', 'lot', 'go', 'given', 'time', 'strongli', 'intellectu', 'curiou', 'atmospher', 'among', 'employe', 'perk', 'fantast', 'easi', 'compel', 'way', 'argu', 'free', 'hot', 'meal', 'three', 'time', 'day', 'there', 'alway', 'someth', 'excit', 'interest', 'intellectu', 'challeng', 'work', 'color', 'rel', 'play', 'atmospher', 'also', 'excel', 'chang', 'pace', 'standardissu', 'dreari', 'cubicl', 'exist', 'plagu', 'offic', 'job', 'us']",google
6084,"['learn', 'keep', 'busi', 'relev', 'nimbl', 'process', 'effici', 'driven', 'good', 'skill', 'learn', 'best', 'someon', 'year', 'experi', 'alreadi', 'dont', 'make', 'first', 'last', 'job']",google
454,"['cant', 'get', 'enough', 'code', 'done']",google
6292,"['great', 'technolog', 'great', 'peopl', 'realli', 'motiv', 'fun', 'work', 'like', 'technolog']",google
3769,"['cant', 'beat', 'googl', 'cultur', 'perk', 'care', 'smart', 'peopl', 'everywher', 'work', 'challeng', 'depend', 'role']",google
35450,"['opportun', 'write', 'softwar', 'get', 'use', 'hundr', 'million', 'peopl', 'opportun', 'see', 'success', 'compani', 'run', 'opportun', 'launch', 'often', 'potenti', 'ipo']",facebook
36144,"['nice', 'build', 'beverli', 'hill']",netflix
4150,"['environ', 'encourag', 'everyon', 'stretch', 'well', 'align', 'goal']",google
34753,"['awesom', 'colleagu', 'talent', 'driven', 'open', 'cultur', 'lot', 'structur', 'unstructur', 'learn', 'take', 'place', 'manag', 'usual', 'pretti', 'good', 'peopl', 'meaning', 'compani', 'mission', 'impact', 'individu', 'work', 'perk', 'fantast']",facebook
49885,"['sharepric', 'pension', 'plan', 'friedli', 'environ']",microsoft
35611,"['great', 'salari', 'good', 'perk']",facebook
35196,"['open', 'cultur', 'everyth', 'transpar', 'everyon', 'move', 'fast', 'like', 'startup', 'rather', 'big', 'compani', 'engin', 'nice']",facebook
470,"['smart', 'peopl', 'flexibl', 'hour', 'independen']",google
36159,"['good', 'cultur', 'nice', 'pay', 'talent', 'colleagu']",netflix
35284,"['cultur', 'top', 'list', 'reason', 'work', 'mani', 'compani', 'say', 'take', 'cultur', 'serious', 'live', 'mantra', 'propaganda', 'around', 'offic', 'realli', 'help', 'stay', 'focus', 'keep', 'ship', 'clear', 'away', 'barrier', 'resolv', 'debat', 'impact', 'first', 'day', 'job', 'submit', 'diff', 'hundr', 'million', 'peopl', 'see', 'everi', 'day', 'imagin', 'connect', 'world', 'keep', 'come', 'everi', 'day', 'know', 'im', 'build', 'futur', 'career', 'opportun', 'arbitrari', 'ladder', 'game', 'mechan', 'career', 'grow', 'hack', 'larger', 'thing', 'encourag', 'work', 'across', 'jump', 'team', 'technolog', 'gain', 'varieti', 'skill', 'keep', 'agil', 'flexibl', 'built', 'lot', 'open', 'sourc', 'technolog', 'skill', 'gain', 'easili', 'transfer', 'everywher']",facebook
3500,"['smart', 'cowork', 'great', 'overal', 'mission', 'fantast', 'perk', 'support', 'environ', 'abil', 'achiev', 'work', 'life', 'balanc']",google
2843,"['advanc', 'technolog', 'scienc', 'daili', 'babsi']",google
2208,"['get', 'work', 'brightest', 'mind', 'world', 'chang', 'way', 'world', 'access', 'inform', 'job', 'everi', 'engin', 'dream']",google
5822,"['great', 'perk', 'great', 'peopl', 'peopl', 'smart', 'help', 'learn', 'lot', 'job']",google
52401,"['excit', 'challeng', 'environ', 'work', 'excel', 'exposur', 'tool', 'technolog']",microsoft
35371,"['unlimit', 'opportun', 'defin', 'pathsurround', 'best', 'brightest', 'move', 'fast', 'amaz', 'perk']",facebook
1834,"['nice', 'food', 'nice', 'peopl']",google
35750,"['impact', 'person', 'possibl', 'organ', 'planet', 'also', 'brilliant', 'friendli', 'cowork', 'ridicul', 'perk', 'emphasi', 'career', 'develop', 'learn']",facebook
36632,"['realli', 'high', 'comp', 'lot', 'independ', 'work', 'lot', 'trust', 'term', 'expens', 'report', 'spend', 'compani', 'money']",netflix
35805,"['talent', 'peopl', 'unconvent', 'work', 'style', 'peopl', 'creativ', 'profession', 'furthermor', 'keep', 'stress', 'focu', 'work', 'highest', 'effici', 'everyon', 'friendli', 'importantli', 'divers', 'key', 'explor', 'power']",facebook
5505,"['awesom', 'challeng', 'nice', 'workplac', 'great', 'perk']",google
34540,"['open', 'cultur', 'innov', 'smart', 'peopl', 'great', 'benefit', 'perk']",facebook
36486,"['lack', 'polit', 'hard', 'problem', 'tackl', 'extrem', 'bright', 'colleagu', 'lack', 'bureaucraci', 'context', 'control', 'style', 'manag', 'track', 'hour', 'time', 'flexibl', 'work', 'option', 'extrem', 'success', 'compani', 'fun', 'busi', 'win']",netflix
4360,"['outstand', 'technic', 'environ', 'lot', 'talent', 'super', 'smart', 'contributor', 'perk', 'realli', 'nice', 'food', 'guest', 'talk', 'time', 'engin', 'invent', 'realli', 'care', 'compani', 'tri', 'real', 'hard', 'good', 'societi', 'promot', 'progress', 'agenda']",google
51576,"['mani', 'team', 'team', 'like', 'differ', 'compani', 'also', 'provid', 'great', 'train', 'technic', 'skill', 'effect', 'commun', 'also', 'provid', 'great', 'benefit']",microsoft
35225,"['fast', 'pace', 'learn', 'freedom', 'work', 'interest', 'make', 'big', 'impact', 'everyth', 'base', 'merit', 'perform', 'polit', 'open', 'cultur', 'perk', 'awesom']",facebook
36557,"['accomplish', 'great', 'thing', 'togeth', 'valu', 'worth']",netflix
6934,"['got', 'best', 'stuff']",google
4265,"['salari', 'benefit', 'van', 'technolog']",google
3147,"['like', 'challeng', 'project', 'work', 'never', 'shortag', 'work', 'colleagu', 'intellig', 'famou', 'perk', 'true', 'time', 'take', 'advantag', 'work', 'life', 'balanc']",google
34691,"['lot', 'flexibl', 'freedom', 'focu', 'impact', 'access', 'greatest', 'mind', 'field', 'lot', 'perk', 'benefit', 'almost', 'hard', 'take', 'advantag', 'sinc', 'mani', 'like', 'great', 'work']",facebook
34960,"['open', 'cultur', 'super', 'fastmov', 'incred', 'resourc', 'dispos', 'includ', 'manageri', 'support', 'autonomi', 'experi', 'rare', 'truli', 'realli', 'great', 'benefit']",facebook
34971,"['perk', 'mindblow', 'awesom', 'food', 'thought', 'benefit', 'like', 'laundri', 'servic', 'onsit', 'acupunctur', 'clinic']",facebook
35534,['good'],facebook
6010,"['food', 'gym', 'flexibl', 'work', 'time', 'everyth']",google
5677,"['well', 'pay', 'work', 'environ', 'good', 'well']",google
36067,"['great', 'place', 'work', 'your', 'genuin', 'interest', 'success', 'cowork', 'abl', 'clearli', 'see', 'connect', 'success', 'busi', 'freedom', 'respons', 'definit', 'practic', 'one', 'hand', 'project', 'deadlin', 'specif', 'way', 'go', 'work', 'trust', 'theyv', 'hire', 'best', 'peopl', 'job', 'leav', 'individu', 'identifi', 'problem', 'figur', 'solv', 'sort', 'environ', 'everyon', 'build', 'strong', 'enough', 'relationship', 'cowork', 'theyd', 'go', 'bat', 'project', 'teambuild', 'isnt', 'companymand', 'activ', 'everyday', 'practic', 'integr', 'part', 'job', 'feedback', 'candid', 'immedi', 'get', 'readi', 'there', 'sugarco', 'success', 'open', 'critic', 'matter', 'direct', 'might', 'work', 'everyon', 'make', 'next', 'cours', 'action', 'clear', 'oppos', 'sugarco', 'feedback', 'leav', 'confus']",netflix
36309,"['excel', 'salari', 'fring', 'benefit', 'work', 'lot', 'smart', 'peopl', 'noth', 'ever', 'seriou', 'like', 'keep', 'light', 'emphas', 'develop', 'peopl']",netflix
2757,"['free', 'food', 'amaz', 'perk', 'overal', 'good', 'pay', 'benefit', 'amaz', 'challeng']",google
56155,"['great', 'salari', 'smart', 'peopl', 'work']",microsoft
35965,"['everyon', 'equival', 'valedictorian', 'colleagu', 'smart', 'ambiti', 'curiou', 'like', 'collabor', 'everyon', 'bring', 'game', 'great', 'work', 'peopl', 'know', 'theyr']",netflix
35876,"['great', 'place', 'work', 'lot', 'opportun', 'grow']",netflix
35952,"['nice', 'pay', 'rate', 'easi']",netflix
36242,"['hour', 'day', 'avail', 'set', 'schedul', 'paid', 'well', 'temp', 'agenc', 'given', 'good', 'rais', 'hire', 'also', 'lot', 'window', 'cheeri', 'look', 'appear']",netflix
36055,"['relax', 'easi', 'job', 'manag', 'co', 'worker', 'awesom']",netflix
61109,"['larg', 'intern', 'recogn', 'corpor', 'possess', 'market', 'leadership', 'posit', 'across', 'softwar', 'industri', 'gener', 'across', 'comput', 'relat', 'technolog']",microsoft
3439,"['flexibl', 'work', 'schedul', 'opinion', 'matter', 'usual', 'great', 'benefit', 'excel', 'compens']",google
5739,"['awesom', 'place', 'work', 'within']",google
59518,"['depend', 'team', 'work', 'awesom', 'product', 'also', 'depend', 'team', 'peopl', 'passion', 'smart', 'driven', 'peopl', 'part']",microsoft
59630,"['decent', 'salari', 'amaz', 'benefit', 'perk', 'bright', 'hardwork', 'peopl', 'mani', 'opportun', 'deliv', 'product', 'use', 'mani', 'million', 'peopl', 'team', 'custom', 'qualityfocus']",microsoft
53719,"['great', 'peopl', 'good', 'benefit']",microsoft
7615,"['best', 'place', 'softwar', 'engin', 'superb', 'infrastructur', 'rel', 'fast', 'develop', 'cycl', 'great', 'perk', 'good', 'food', 'flexibl', 'work', 'hour']",google
35271,"['peopl', 'work', 'amaz', 'much', 'impact', 'singl', 'engin', 'make']",facebook
3644,"['great', 'salari', 'benefit', 'resourc', 'amount', 'intellig', 'peopl', 'work', 'compani', 'bit', 'overwhelm', 'forc', 'best']",google
62275,"['wide', 'cloud', 'offer', 'chanc', 'learn', 'fast', 'evolv', 'environ', 'lead', 'modern', 'workplac', 'transform', 'smart', 'work', 'innov']",microsoft
36204,"['great', 'pay', 'benefit', 'perk', 'cater', 'food']",netflix
34732,"['work', 'product', 'use', 'billion', 'run', 'ceo', 'execut', 'team', 'rockstar', 'mission', 'driven', 'flexibl', 'cut', 'edg', 'product', 'use', 'peopl', 'develop', 'publish', 'advertis', 'etc', 'awesom', 'perk']",facebook
2695,"['cultur', 'notic', 'focu', 'nice', 'one', 'anoth', 'get', 'work', 'excit', 'thing']",google
