,tokenized_pros,company
3868,"['doubt', 'one', 'amaz', 'compani', 'world', 'cowork', 'tend', 'incred', 'nice', 'hard', 'work', 'interest', 'peopl', 'larri', 'vision', 'pretti', 'amaz', 'he', 'help', 'creat', 'great', 'environ', 'work', 'visit', 'mani', 'tech', 'compani', 'realli', 'believ', 'googl', 'perk', 'second', 'none', 'especi', 'consid', 'mani', 'offic']",google
66620,"['challeng', 'interest', 'technic', 'problem', 'across', 'wide', 'varieti', 'product']",microsoft
5379,"['great', 'compani', 'cultur', 'mani', 'opportun', 'evolv', 'within', 'compani']",google
6110,"['find', 'super', 'smart', 'nice', 'peopl', 'work', 'compani', 'provid', 'great', 'benefit', 'employe']",google
35129,"['amaz', 'compani', 'cultur', 'ultra', 'align', 'vision', 'fantast', 'talent', 'motiv', 'colleagu', 'entrepreneuri', 'hacker', 'cultur', 'strong', 'cours', 'perk', 'nice', 'remov', 'distract', 'allow', 'focu', 'matter', 'attract', 'sole', 'perk', 'look', 'elsewher', 'dont', 'belong']",facebook
34306,"['thorough', 'interview', 'good', 'blend', 'past', 'experi', 'sourc', 'knowledg', 'convers', 'profession', 'abl', 'get', 'strong', 'understand', 'team', 'dynam', 'measur', 'success']",facebook
34509,"['strong', 'leadership', 'lot', 'autonomi', 'intellig', 'care', 'colleagu']",facebook
35264,"['fast', 'move', 'compani', 'good', 'compens', 'one', 'recogniz', 'compani', 'world']",facebook
35271,"['peopl', 'work', 'amaz', 'much', 'impact', 'singl', 'engin', 'make']",facebook
35825,"['great', 'cultur', 'manag', 'genuin', 'care', 'staff', 'happi', 'career', 'path', 'growth', 'person', 'develop', 'compani', 'scale', 'get', 'sens', 'everyon', 'want', 'retain', 'hack', 'cultur', 'abil', 'move', 'fast', 'avoid', 'bureaucrat', 'system', 'offer', 'opportun', 'everyon', 'avoid', 'handpick', 'keep', 'compani', 'polit', 'minimum', 'work', 'environ', 'collabor', 'open', 'focus', 'impact', 'peopl', 'smartest', 'peopl', 'ever', 'chanc', 'deal', 'hardwork', 'fun', 'collabor', 'creativ', 'driven', 'made', 'mold', 'divers', 'import', 'dublin', 'love', 'multicultur', 'environ', 'respect', 'everyon', 'cultur', 'creat', 'great', 'vibe', 'around', 'offic', 'perk', 'alright', 'initi', 'salari', 'highest', 'compar', 'compani', 'work', 'howev', 'monthli', 'bonus', 'perform', 'base', 'stock', 'salari', 'adjust', 'everi', 'year', 'free', 'healthi', 'delici', 'food', 'day', 'realli', 'add', 'higher', 'base', 'salari', 'previou', 'job', 'go', 'work', 'everi', 'day', 'without', 'fear', 'day', 'bring', 'lower', 'stresslevel', 'priceless', 'also', 'put', 'irish', 'dublin', 'context', 'grim', 'unemploy', 'figur', 'solid', 'job', 'career', 'prospect', 'put', 'asid', 'peopl', 'cool', 'offic', 'mani', 'perk', 'realli', 'love', 'support', 'hundr', 'million', 'user', 'across', 'emea', 'latin', 'america', 'work', 'scale', 'inspir', 'feel', 'immens', 'proud', 'achiev', 'everi', 'day']",facebook
764,"['great', 'place', 'work', 'young', 'singl', 'male', 'softwar', 'engin']",google
66378,"['quit', 'import', 'role', 'great', 'polici', 'good', 'salari']",microsoft
35659,"['cultur', 'posit', 'amaz', 'believ', 'live', 'consist', 'throughout', 'offic', 'around', 'worlda', 'rariti', 'benefit', 'worldclass', 'mission', 'driveneveryon', 'believ', 'zuck', 'fantast']",facebook
2868,"['great', 'benefit', 'perk']",google
6742,"['fast', 'pace', 'workplac', 'lot', 'often', 'time', 'excit', 'lot', 'ever', 'chang', 'challeng']",google
34483,"['rate', 'compani', 'expand', 'ampl', 'opportun', 'person', 'growth', 'well']",facebook
51551,"['friendli', 'smart', 'peopl', 'support', 'backstab', 'rare', 'manag', 'pay', 'attent', 'employe', 'complaint', 'open', 'discuss', 'pay', 'good', 'rel', 'stress', 'expect']",microsoft
34950,"['move', 'fast', 'awesom', 'cultur', 'smart', 'peopl', 'rooftop', 'garden', 'manag', 'train', 'sweet', 'stop', 'music', 'around', 'campu', 'cafe']",facebook
34265,"['amaz', 'benefit', 'compani', 'back', 'anyth', 'happen', 'person', 'dont', 'think', 'truli', 'work', 'fb', 'almost', 'work', 'compani', 'work', 'hard', 'toward', 'work', 'life', 'balanc', 'senior', 'leadership', 'hurdl', 'seem', 'right', 'thing']",facebook
35636,"['get', 'work', 'mostli', 'nice', 'smart', 'peopl', 'want', 'see', 'succeed', 'lot', 'autonomi', 'flexibl', 'great', 'perk', 'offic', 'facil', 'excit', 'work', 'compani', 'wide', 'reach', 'impact', 'lot', 'open', 'commun', 'senior', 'manag', 'strong', 'sens', 'optim', 'futur', 'compani']",facebook
34922,"['opportun', 'work', 'interest', 'challeng', 'problem', 'intellectu', 'stimul', 'environ', 'great', 'perk', 'shuttl', 'ride', 'make', 'life', 'effici', 'compani', 'good', 'spot', 'larg', 'market', 'ceo', 'great', 'vision']",facebook
2571,"['great', 'team', 'great', 'product', 'great', 'environ', 'highli', 'recommend']",google
5798,"['cultr', 'salari', 'peopl', 'food', 'offci']",google
34986,"['free', 'food', 'smart', 'peopl', 'potenti', 'work', 'impact', 'product']",facebook
34537,"['place', 'like', 'move', 'fast', 'break', 'thing', 'everi', 'day', 'feel', 'like', 'week', 'would', 'werent', 'afraid', 'thing', 'written', 'wall', 'satisfi', 'job', 'ive', 'ever']",facebook
6075,"['great', 'place', 'work', 'cultur', 'peopl']",google
49707,"['peopl', 'fun', 'work']",microsoft
34629,"['tremend', 'autonomi', 'still', 'much', 'cultur', 'expect', 'find', 'impact', 'deliv', 'fast', 'pace', 'cultur', 'peopl', 'tri', 'stop', 'get', 'thing', 'done', 'everyon', 'valu', 'benefit', 'iter', 'easi', 'intern', 'mobil', 'interview', 'bs', 'everyth', 'decid', 'day', 'great', 'perk', 'comp', 'food', 'offic', 'space', 'healthcar', 'name', 'excit', 'work', 'build', 'everyth', 'social', 'media', 'vr', 'react', 'airplan']",facebook
698,"['wonder', 'free', 'food', 'nice', 'gym', 'rock', 'climb', 'wall']",google
35659,"['cultur', 'posit', 'amaz', 'believ', 'live', 'consist', 'throughout', 'offic', 'around', 'worlda', 'rariti', 'benefit', 'worldclass', 'mission', 'driveneveryon', 'believ', 'zuck', 'fantast']",facebook
36422,"['decent', 'start', 'wage', 'assum', 'make', 'train', 'inexpens', 'benefit', 'decent', 'health', 'care', 'coverag', 'part', 'employe', 'csr', 'realli', 'cool', 'work', 'shelter', 'smoke', 'area', 'free', 'lunch', 'mac', 'chees', 'oatmeal', 'ramen', 'unlimit', 'coffe', 'caution', 'dont', 'take', 'bathroom', 'break', 'may', 'get', 'fire', 'schedul', 'choic', 'offer', 'train', 'choos', 'wise', 'fairli', 'decent', 'train', 'support', 'first', 'two', 'week', 'employ', 'made']",netflix
54869,"['awesom', 'speak', 'mind', 'cultur', 'grow', 'hack', 'cultur', 'follow', 'dream', 'want', 'chang', 'world', 'cool', 'new', 'product', 'work', 'ship', 'million', 'use', 'great', 'bunch', 'peopl', 'work', 'highli', 'ethic', 'compani', 'great', 'benefit']",microsoft
687,"['work', 'genuin', 'smart', 'creativ', 'peopl', 'beauti', 'offic', 'delici', 'food', 'great', 'benefit', 'healthcar', 'lot', 'learn', 'avail', 'talk', 'program', 'class', 'great', 'deal', 'transpar', 'across', 'organ', 'room', 'take', 'risk', 'propos', 'initi', 'recept', 'audienc', 'candid', 'honest', 'commun', 'clevel', 'leadership', 'includ', 'acknowledg', 'mistak']",google
1979,"['there', 'reason', 'consist', 'rate', 'top', 'place', 'work', 'compani', 'amaz', 'thing', 'constantli', 'innov', 'great', 'cowork', 'good', 'pay', 'basebonusstock', 'perk', 'challeng', 'work', 'good', 'intern', 'mobil']",google
35872,"['locat', 'great', 'locat']",netflix
963,"['go', 'cool', 'place']",google
259,"['amaz', 'perk', 'food', 'massag', 'name']",google
4857,"['food', 'gener', 'great', 'number', 'cafeteria', 'option', 'ridicul', 'there', 'alway', 'someth', 'interest', 'go', 'onit', 'treat', 'see', 'invit', 'author', 'politician', 'drop', 'give', 'talk', 'engin', 'rel', 'easi', 'switch', 'project', 'least', 'manag', 'side', 'mani', 'smart', 'peopl', 'learn', 'lot', 'gener', 'engin', 'quit', 'nice', 'easi', 'work', 'meet', 'occasion', 'bad', 'though', 'quit', 'gratifi', 'learn', 'innerwork', 'product', 'use', 'world']",google
67453,"['product', 'work', 'impact', 'world', 'good', 'benefit', 'compens', 'abil', 'move', 'within', 'differ', 'team', 'work', 'mani', 'differ', 'technolog', 'area']",microsoft
65444,"['flexibl', 'peer', 'support', 'process', 'orient']",microsoft
35387,"['freedom', 'start', 'cultur', 'opportun', 'take', 'risk']",facebook
3292,"['free', 'food', 'free', 'bu', 'ride', 'chocol', 'factori', 'everyth', 'youv', 'heard']",google
34598,"['lot', 'free', 'snack', 'food', 'great', 'cultur', 'gener', 'salari']",facebook
7773,"['esprit', 'cool', 'jeun', 'et', 'dynamiqu']",google
35544,"['fast', 'pace', 'high', 'growth', 'rate', 'good', 'perk', 'salari']",facebook
51504,"['good', 'stabl', 'awesom', 'colleagu']",microsoft
35544,"['fast', 'pace', 'high', 'growth', 'rate', 'good', 'perk', 'salari']",facebook
35936,"['cultur', 'truli', 'real', 'mean', 'posit', 'way', 'everi', 'person', 'will', 'put', 'help', 'one', 'ego', 'type', 'polit', 'agenda', 'incred', 'collabor', 'work', 'environ', 'think', 'lot', 'misconcept', 'cut', 'throat', 'get', 'fire', 'easili', 'exactli', 'misconcept', 'level', 'empathi', 'support', 'amaz', 'never', 'got', 'anywher', 'els', 'work']",netflix
36513,"['cultur', 'promot', 'freedom', 'respons', 'coupl', 'extrem', 'talent', 'peopl', 'result', 'environ', 'proud', 'work', 'celebr', 'success', 'dont', 'dwell', 'failur', 'rather', 'act', 'overcom', 'continu', 'find', 'new', 'innov', 'solut', 'provid', 'custom', 'best', 'view', 'experi', 'possibl']",netflix
34592,"['great', 'cultur', 'strong', 'divers', 'employe', 'level', 'great', 'perk', 'facil']",facebook
35611,"['great', 'salari', 'good', 'perk']",facebook
2358,"['great', 'place', 'work', 'fulltim', 'intern']",google
56196,"['establish', 'compani', 'good', 'benefit']",microsoft
2692,"['amaz', 'team', 'mate', 'great', 'perk', 'fair', 'process']",google
60288,"['benefit', 'good']",microsoft
3317,"['good', 'work', 'life', 'balanc', 'good', 'benefit', 'good', 'job', 'secur']",google
35225,"['fast', 'pace', 'learn', 'freedom', 'work', 'interest', 'make', 'big', 'impact', 'everyth', 'base', 'merit', 'perform', 'polit', 'open', 'cultur', 'perk', 'awesom']",facebook
36600,"['good', 'pay', 'summer', 'colleg', 'job', 'perform', 'well', 'quickli', 'get', 'mani', 'hour', 'want']",netflix
35510,"['great', 'employ', 'appreci', 'especi', 'compar', 'peer', 'compani', 'get', 'paid', 'competit', 'perk', 'amaz', 'job', 'rather', 'interest', 'well', 'love', 'care', 'chill', 'atmospher', 'offic', 'come', 'consult', 'overtim', 'extrem', 'pressur', 'realli', 'big', 'differ', 'peopl', 'offic', 'quit', 'smart', 'realli', 'fun', 'work', 'also', 'love', 'intern', 'dublin', 'offic', 'join', 'didnt', 'see', 'someth', 'import', 'understand', 'everyon', 'fb', 'keep', 'mention']",facebook
34522,"['outstand', 'benefit', 'good', 'peopl', 'overal']",facebook
36051,"['strong', 'leadership', 'team', 'realli', 'work', 'put', 'right', 'peopl', 'right', 'posit', 'realli', 'peopl', 'focus', 'creat', 'awesom', 'cultur', 'agent', 'peopl', 'work']",netflix
5971,"['creativ', 'driven', 'peopl']",google
3881,"['smart', 'peopl', 'colleagu', 'friend', 'great', 'perk', 'food', 'everywher', 'competit', 'pay', 'lot', 'learn', 'opportun', 'cool', 'part', 'generationchang', 'compani']",google
34909,"['engin', 'almost', 'unparallel', 'exampl', 'continu', 'deliveri', 'system', 'automat', 'build', 'test', 'releas', 'softwar', 'manag', 'give', 'detail', 'construct', 'honest', 'feedback', 'better', 'engin', 'lot', 'opportun', 'impact', 'product', 'hackathon']",facebook
34301,"['compens', 'littl', 'bit', 'better', 'compar', 'similar', 'compani', 'priceperform', 'ratio', 'quit', 'low', 'everyth', 'look', 'good']",facebook
35094,"['develop', 'gener', 'technic']",facebook
36085,"['free', 'certain', 'amount', 'time', 'give', 'extra', 'compens', 'healthcar', 'abl', 'swap', 'work', 'day', 'work', 'cowork']",netflix
1064,"['great', 'place', 'work', 'great', 'peopl']",google
6846,"['cultur', 'amaz', 'push', 'grow']",google
59674,"['good', 'chang', 'healthi', 'work', 'life', 'balanc', 'good', 'product', 'team', 'matur', 'good', 'develop', 'process', 'plan', 'allow', 'expect', 'come']",microsoft
34537,"['place', 'like', 'move', 'fast', 'break', 'thing', 'everi', 'day', 'feel', 'like', 'week', 'would', 'werent', 'afraid', 'thing', 'written', 'wall', 'satisfi', 'job', 'ive', 'ever']",facebook
34616,"['good', 'work', 'life', 'balanc']",facebook
283,"['good', 'peopl', 'dream', 'job', 'good', 'place']",google
50514,"['opportun', 'cloud', 'focu', 'across', 'org']",microsoft
3994,"['competit', 'compens', 'talent', 'peer', 'open', 'work', 'environ', 'flexibl', 'work', 'time', 'easi', 'chang', 'product', 'servic', 'work']",google
66296,"['excel', 'peopl', 'good', 'benefit', 'develop', 'opportun']",microsoft
5132,"['benefit', 'perk', 'schedul', 'flexibl', 'cultur', 'parti']",google
35856,"['cool', 'work', 'environ', 'peopl']",netflix
4948,"['intern', 'group', 'employe', 'work']",google
5815,"['highli', 'skill', 'team', 'expert', 'logist', 'servic']",google
34959,"['peopl', 'flexibl', 'challeng', 'growth', 'potenti', 'life', 'benefit', 'program']",facebook
5886,"['nice', 'workplac', 'salari', 'friendli', 'colleagu']",google
36057,"['stun', 'colleagu', 'cater', 'lunch', 'healthi', 'snack', 'drink', 'great', 'pay', 'benefit']",netflix
1116,"['great', 'peopl', 'good', 'mindset', 'interest', 'challeng', 'good', 'food', 'good', 'work', 'life', 'balanc', 'good', 'match', 'stock', 'well']",google
63222,"['good', 'compens', 'packag', 'strong', 'brand', 'smart', 'motiv', 'peopl', 'industri', 'leader', 'drive', 'cloud', 'adopt', 'invest', 'lot', 'compet', 'develop', 'challeng', 'grow', 'develop', 'fantast', 'career', 'develop', 'your', 'region', 'global', 'role']",microsoft
35027,"['great', 'opportun', 'growth', 'learn', 'amaz', 'workplac', 'cultur']",facebook
5196,"['nice', 'environ', 'work', 'explor', 'talent']",google
60286,"['talent', 'peopl', 'great', 'benfit', 'strong', 'work', 'ethic', 'industri', 'leader', 'flexibl', 'move', 'within', 'compani']",microsoft
34629,"['tremend', 'autonomi', 'still', 'much', 'cultur', 'expect', 'find', 'impact', 'deliv', 'fast', 'pace', 'cultur', 'peopl', 'tri', 'stop', 'get', 'thing', 'done', 'everyon', 'valu', 'benefit', 'iter', 'easi', 'intern', 'mobil', 'interview', 'bs', 'everyth', 'decid', 'day', 'great', 'perk', 'comp', 'food', 'offic', 'space', 'healthcar', 'name', 'excit', 'work', 'build', 'everyth', 'social', 'media', 'vr', 'react', 'airplan']",facebook
62753,"['get', 'work', 'best', 'technolog', 'flexibl', 'work', 'lot', 'talent', 'peopl']",microsoft
5072,"['nice', 'food', 'mani', 'smart', 'peopl']",google
5891,"['amaz', 'technolog', 'work', 'atmospher', 'colleagu', 'compens']",google
35245,"['high', 'respons', 'day', 'one', 'high', 'power', 'day', 'one', 'compani', 'live', 'motto', 'move', 'fast', 'dont', 'afraid']",facebook
52032,"['smart', 'peopl', 'hard', 'problem', 'good', 'benefit']",microsoft
34792,"['come', 'even', 'dare', 'write', 'pro', 'long', 'list']",facebook
35004,"['open', 'cultur', 'secret', 'project', 'opportun', 'growth', 'access', 'manag', 'via', 'weekli', 'qa', 'lot', 'learn', 'develop', 'cours', 'encourag', 'work', 'passion', 'perk', 'benefit', 'chang', 'accord', 'employe', 'want']",facebook
35000,"['great', 'pay', 'great', 'benefit', 'interest', 'work', 'get', 'work', 'best', 'engin', 'world', 'busi', 'incred', 'well']",facebook
51513,"['awesom', 'compani', 'especi', 'famili', 'work', 'life', 'balanc', 'reason', 'benefit', 'great']",microsoft
6880,"['salari', 'benefit', 'nice', 'chair', 'desk']",google
35441,"['ive', 'work', 'differ', 'compani', 'invest', 'bank', 'cpg', 'tech', 'compani', 'noth', 'beat', 'peopl', 'amaz', 'mention', 'wick', 'smart', 'youll', 'surround', 'talent', 'peopl', 'world', 'mission', 'chang', 'world']",facebook
36639,"['peopl', 'highli', 'motiv', 'fun', 'work', 'smart', 'group', 'individu', 'good', 'find', 'effici']",netflix
2170,"['learn', 'opportun', 'explor', 'learn', 'grow', 'job']",google
35184,"['awesom', 'peopl', 'great', 'cultur', 'great', 'food']",facebook
35138,"['opinion', 'oper', 'polici', 'extrem', 'trust', 'respect', 'employe', 'give', 'us', 'mani', 'privileg', 'opportun', 'trust', 'us', 'screw', 'thing', 'abus', 'privileg', 'return', 'employe', 'respect', 'compani', 'back', 'addit', 'everyon', 'ridicul', 'smart', 'amaz', 'pleasur', 'work']",facebook
36000,"['great', 'pro', 'youll', 'work', 'mostli', 'extrem', 'compet', 'peopl', 'deal', 'team', 'within', 'compani', 'extrem', 'easi', 'peopl', 'help', 'effici', 'pay', 'lot', 'money', 'give', 'perk', 'like', 'free', 'food', 'paid', 'cell', 'phone', 'bill', 'etc', 'great', 'biggest', 'draw', 'alway', 'peopl', 'team', 'make', 'break', 'experi', 'make', 'sure', 'know', 'get', 'interview', 'dont', 'accept', 'job', 'team', 'dont', 'feel', 'excit', 'part']",netflix
35049,"['open', 'cultur', 'awesom', 'campu', 'free', 'food']",facebook
466,"['onboard', 'member', 'softwar', 'engin']",google
58645,"['better', 'averag', 'benefit', 'lot', 'intern', 'open']",microsoft
66160,"['big', 'compani', 'multipl', 'possibl', 'work', 'differ', 'project', 'switch', 'team', 'pay', 'gener', 'ok']",microsoft
35897,"['lot', 'overtim', 'avail', 'busi', 'season', 'flex', 'hour']",netflix
58232,"['intellig', 'passion', 'team', 'member', 'leadership', 'good', 'listen', 'alway', 'felt', 'treat', 'fairli', 'lot', 'opportun', 'especi', 'puget', 'sound', 'area']",microsoft
36187,"['compani', 'move', 'fast', 'product', 'minim', 'bureaucraci', 'gener', 'good', 'attempt', 'dissemin', 'vision', 'topdown', 'strong', 'technic', 'contributor', 'great', 'peer', 'polici', 'practic', 'employeefriendli', 'there', 'littl', 'impedi', 'get', 'stuff', 'done', 'compani', 'get', 'rid', 'lowperform', 'regularli']",netflix
36460,"['decent', 'pay', 'decent', 'benefit', 'plu', 'say', 'work', 'netlfix']",netflix
1166,"['met', 'great', 'peer', 'realli', 'talent', 'educ', 'love', 'student', 'parent']",google
63088,"['good', 'work', 'experi', 'softwar', 'engin', 'pure', 'softwar', 'compani']",microsoft
34701,"['great', 'environ', 'surround', 'world', 'class', 'engin', 'excel', 'colleagu', 'cultur', 'move', 'fast', 'bold', 'make', 'impact', 'collabor', 'meritocraci', 'less', 'polit', 'lot', 'freedom', 'compani', 'still', 'doesnt', 'lot', 'process']",facebook
7561,"['compani', 'still', 'grow', 'that', 'bit', 'understat', 'core', 'busi', 'well', 'busi', 'tri', 'becom', 'major', 'player', 'sideway', 'mobil', 'softwar', 'engin', 'group', 'scale', 'oper', 'amaz', 'size', 'still', 'one', 'best', 'compani', 'work', 'well', 'run', 'perk', 'cultur', 'doesnt', 'prohibit', 'fun', 'sens', 'encourag']",google
34428,"['fantast', 'environ', 'awesom', 'peopl', 'great', 'food', 'extrem', 'support', 'unbeliev', 'tech']",facebook
56744,"['good', 'career', 'path', 'someon', 'posit', 'learn', 'lot']",microsoft
2960,"['life', 'work', 'balanc', 'great']",google
36519,"['favorit', 'thing', 'surround', 'ridicul', 'talent', 'group', 'peopl', 'also', 'fun', 'work', 'manag', 'provid', 'clear', 'compass', 'prioriti', 'compani', 'make', 'easi', 'team', 'priorit', 'project', 'appropri', 'next', 'year', 'go', 'realli', 'interest', 'compani', 'make', 'transit', 'realli', 'good', 'dvd', 'mail', 'servic', 'great', 'way', 'get', 'movi', 'mail', 'internet']",netflix
34301,"['compens', 'littl', 'bit', 'better', 'compar', 'similar', 'compani', 'priceperform', 'ratio', 'quit', 'low', 'everyth', 'look', 'good']",facebook
36630,"['amaz', 'quickli', 'climb', 'ladder', 'incred', 'peopl', 'work', 'care', 'futur', 'involv']",netflix
35748,"['amaz', 'cultur', 'everyon', 'met', 'friendli', 'work', 'life', 'balanc', 'much', 'better', 'menlo', 'park', 'offic']",facebook
35204,"['brilliant', 'colleagu', 'fantast', 'startupish', 'cultur', 'desir', 'thing', 'right', 'way', 'interest', 'wide', 'vari', 'technolog', 'challeng', 'solv', 'great', 'perk', 'make', 'life', 'comfort']",facebook
2193,"['good', 'place', 'work', 'learn']",google
5153,"['perfect', 'servic', 'environ', 'wellmaintain']",google
1775,"['great', 'pay', 'includ', 'good', 'insur', 'annual', 'bonus', 'stock', 'grant', 'free', 'prepar', 'onsit', 'meal', 'breakfast', 'lunch', 'dinner']",google
36465,"['given', 'freedom', 'job', 'work', 'smartest', 'peopl', 'may', 'ever', 'work']",netflix
51968,"['great', 'peopl', 'work', 'deep', 'histori', 'differ', 'area']",microsoft
7247,"['benefit', 'food', 'offic', 'space', 'travel', 'etc']",google
35129,"['amaz', 'compani', 'cultur', 'ultra', 'align', 'vision', 'fantast', 'talent', 'motiv', 'colleagu', 'entrepreneuri', 'hacker', 'cultur', 'strong', 'cours', 'perk', 'nice', 'remov', 'distract', 'allow', 'focu', 'matter', 'attract', 'sole', 'perk', 'look', 'elsewher', 'dont', 'belong']",facebook
4030,"['perk', 'work', 'life', 'balanc', 'feel', 'valu', 'littl', 'bureacraci']",google
34971,"['perk', 'mindblow', 'awesom', 'food', 'thought', 'benefit', 'like', 'laundri', 'servic', 'onsit', 'acupunctur', 'clinic']",facebook
58676,"['good', 'peopl', 'work', 'flexibl', 'decent', 'pay', 'work', 'excit', 'technolog']",microsoft
35731,"['fantast', 'place', 'work', 'develop', 'career', 'develop', 'person', 'invest', 'aw', 'lot']",facebook
4599,"['open', 'environ', 'flexibl', 'work', 'hour', 'good', 'career', 'develop', 'near', 'futur']",google
36344,"['expect', 'best', 'everyon', 'push', 'us', 'great', 'possibl', 'extrem', 'candid', 'feedback', 'advic', 'help', 'realiz', 'object']",netflix
53257,"['great', 'work', 'environ', 'smart', 'peopl', 'flexibl', 'hour', 'result', 'driven']",microsoft
52172,"['proud', 'part', 'one', 'biggest', 'product']",microsoft
6462,"['everi', 'person', 'work', 'reput', 'compani', 'work', 'use', 'full', 'help', 'compni', 'allreadi', 'larg', 'compititor']",google
66014,"['great', 'place', 'great', 'peopl', 'great', 'cultur', 'good', 'benefit', 'appreci', 'notic', 'take', 'initi']",microsoft
35433,"['smartest', 'passion', 'peopl', 'ever', 'work', 'compani', 'mean', 'much', 'mani', 'humbl', 'employe']",facebook
3301,"['isnt', 'much', 'say', 'herei', 'mean', 'world', 'becom', 'digit', 'risetheir', 'expans', 'ridicul', 'loosen', 'though', 'time']",google
2469,"['good', 'perk', 'food', 'gener', 'lifestyl']",google
35377,"['intellectu', 'challeng', 'stimul', 'work', 'work', 'stream', 'part', 'decid', 'import', 'manag', 'handsoff', 'philosophi', 'long', 'perform', 'well', 'absolut', 'awesom', 'ton', 'opportun', 'develop', 'technic', 'commun', 'skill', 'perk', 'perk', 'perk']",facebook
4765,"['look', 'good', 'resum', 'addit', 'everybodi', 'speak', 'recogn', 'compani', 'work', 'certainli', 'good', 'name', 'recognit', 'lot', 'learn', 'opportun', 'intellig', 'peopl', 'learn', 'beyond', 'provid', 'cours', 'take', 'advantag', 'resourc', 'make', 'work', 'compani', 'worth', 'least', 'period', 'time']",google
36489,"['ive', 'work', 'mani', 'place', 'valley', 'small', 'hot', 'startup', 'larg', 'mega', 'corp', 'far', 'best', 'place', 'run', 'compani', 'handpick', 'friend', 'could', 'better']",netflix
35171,"['innov', 'hardwork', 'fast', 'pace', 'friendli', 'fun', 'challeng', 'work', 'environ']",facebook
54911,"['lot', 'opportun', 'new', 'skill', 'new', 'role']",microsoft
35080,"['flat', 'org', 'structur', 'grow', 'compani', 'profession', 'opportun', 'open', 'transpar', 'leadership', 'incred', 'employe', 'perk']",facebook
1322,"['great', 'perk', 'cowork', 'project', 'task']",google
34394,"['awesom', 'peopl', 'great', 'cultur', 'excit', 'fastmov', 'environ']",facebook
1971,"['incred', 'cultur', 'smart', 'peopl', 'give', 'lot', 'respons', 'intern', 'high', 'leverag', 'work']",google
5991,"['flexibl', 'hour', 'smart', 'cowork']",google
